Species	Accessions
Mycobacterium_abscessus_subsp._abscessus	GCA_000611915.1,GCA_900137745.1
Mycobacterium_abscessus_subsp._bolletii	GCA_000239035.2,GCA_900134285.1
Mycobacterium_abscessus_subsp._massiliense	GCA_000239055.2,GCA_900138855.1
Mycobacterium_acidiphilus	GCA_018455725.1
Mycobacterium_agri	GCA_002553505.1,GCA_010722915.1
Mycobacterium_ahvazicum	GCA_900176255.2
Mycobacterium_aichiense	GCA_010726245.1,GCA_900453085.1
Mycobacterium_algericum	GCA_002086455.1,GCA_010726505.1
Mycobacterium_algericum_A	GCA_003284925.1
Mycobacterium_alkanivorans	GCA_022760805.1
Mycobacterium_alsense	GCA_001666815.1,GCA_002086635.1
Mycobacterium_alvei	GCA_010727325.1
Mycobacterium_angelicum	GCA_002086155.1
Mycobacterium_anyangense	GCA_010731855.1
Mycobacterium_aquaticum	GCA_002086485.1
Mycobacterium_arabiense	GCA_010731815.2
Mycobacterium_aromaticivorans	GCA_000559085.2
Mycobacterium_arosiense	GCA_002086125.1
Mycobacterium_arosiense_A	GCA_003284935.1
Mycobacterium_arupense	GCA_000972915.1,GCA_002086515.1
Mycobacterium_asiaticum	GCA_000613245.1,GCA_001669345.1
Mycobacterium_asiaticum_A	GCA_001673365.1
Mycobacterium_asiaticum_B	GCA_001673315.1
Mycobacterium_asiaticum_C	GCA_001673345.1,GCA_001673635.1
Mycobacterium_asiaticum_D	GCA_001668675.1
Mycobacterium_attenuatum	GCA_900566085.1,GCA_900566105.1
Mycobacterium_aubagnense	GCA_005670695.1,GCA_010730955.1
Mycobacterium_aurum	GCA_001049355.1,GCA_900637195.1
Mycobacterium_aurum_A	GCA_023388645.1,GCA_900078775.1
Mycobacterium_austroafricanum	GCA_000612725.1,GCA_002968275.1
Mycobacterium_avium_subsp._avium	GCA_000504945.1,GCA_009741445.1
Mycobacterium_avium_subsp._hominissuis	GCA_000500005.1,GCA_900079425.1
Mycobacterium_avium_subsp._paratuberculosis	GCA_000240525.2,GCA_002208705.2
Mycobacterium_avium_subsp._silvaticum	GCA_000504975.1
Mycobacterium_bacteremicum	GCA_002086115.1,GCA_943913955.1
Mycobacterium_baixiangningiae	GCA_014893035.1,GCA_016313185.1
Mycobacterium_basiliense	GCA_900292015.1
Mycobacterium_boenickei	GCA_002553535.1,GCA_010731295.1
Mycobacterium_bohemicum	GCA_001053185.1,GCA_002102025.1
Mycobacterium_botniense	GCA_010723305.1
Mycobacterium_bourgelatii	GCA_010723575.1
Mycobacterium_bovis	GCA_000729755.1,GCA_002982285.1
Mycobacterium_branderi	GCA_002086575.1,GCA_010728725.1
Mycobacterium_brisbanense	GCA_000455145.1,GCA_001570425.1
Mycobacterium_brumae	GCA_002553575.2,GCA_004014795.1
Mycobacterium_canariasense	GCA_001570445.1,GCA_002101555.1
Mycobacterium_canettii	GCA_000253375.1,GCA_000343935.1
Mycobacterium_celatum	GCA_000974705.1,GCA_002101595.1
Mycobacterium_celeriflavum	GCA_001667065.1,GCA_010731795.1
Mycobacterium_chelonae_A	GCA_014204435.1
Mycobacterium_chelonae_subsp._chelonae	GCA_004355245.1
Mycobacterium_chelonae_subsp._gwanakae	GCA_003390495.1
Mycobacterium_chitae	GCA_010727725.1,GCA_900637205.1
Mycobacterium_chlorophenolicum	GCA_001044235.1,GCA_001552315.1
Mycobacterium_chubuense	GCA_001044255.1,GCA_002086595.1
Mycobacterium_chubuense_A	GCA_000266905.1
Mycobacterium_colombiense	GCA_000222105.4,GCA_002105755.1
Mycobacterium_colombiense_A	GCA_001665835.1
Mycobacterium_colombiense_B	GCA_001953985.1,GCA_001954115.1
Mycobacterium_colombiense_C	GCA_001672755.1
Mycobacterium_confluentis	GCA_010729895.1,GCA_023432245.1
Mycobacterium_conspicuum	GCA_002102095.1,GCA_010730195.1
Mycobacterium_cookii	GCA_010727945.1
Mycobacterium_cosmeticum	GCA_000613185.1,GCA_005670675.1
Mycobacterium_cosmeticum_A	GCA_016197365.1
Mycobacterium_crocinum	GCA_022370635.1,GCA_023390855.1
Mycobacterium_decipiens	GCA_002104675.1
Mycobacterium_diernhoferi	GCA_019456655.1,GCA_023417175.1
Mycobacterium_dioxanotrophicus	GCA_002157835.1
Mycobacterium_doricum	GCA_002102115.1,GCA_010728155.1
Mycobacterium_duvalii	GCA_002553585.1,GCA_010726645.1
Mycobacterium_elephantis	GCA_001005175.1,GCA_004014805.1
Mycobacterium_engbaekii	GCA_002101585.1
Mycobacterium_europaeum	GCA_001373515.1,GCA_002102155.1
Mycobacterium_europaeum_A	GCA_001669335.1,GCA_003284975.1
Mycobacterium_fallax	GCA_010726955.1,GCA_022710465.1
Mycobacterium_flavescens	GCA_002245615.1,GCA_900637135.1
Mycobacterium_flavescens_A	GCA_001722335.1
Mycobacterium_florentinum	GCA_002101635.1,GCA_010730355.1
Mycobacterium_fluoranthenivorans	GCA_011758805.1,GCA_900100615.1
Mycobacterium_fortuitum_subsp._acetamidolyticum	GCA_001570465.1
Mycobacterium_fortuitum_subsp._fortuitum	GCA_000295855.1,GCA_022179545.1
Mycobacterium_fortunisiensis	GCA_019050325.1
Mycobacterium_fragae	GCA_002102185.1,GCA_020622285.1
Mycobacterium_franklinii	GCA_002013895.1,GCA_011064445.1
Mycobacterium_frederiksbergense	GCA_012223425.1,GCA_019745175.1
Mycobacterium_gadium	GCA_010728925.1
Mycobacterium_gallinarum	GCA_010726765.1
Mycobacterium_gastri	GCA_000521195.1,GCA_002102175.1
Mycobacterium_genavense	GCA_000526915.1
Mycobacterium_gilvum	GCA_019148985.1,GCA_900454025.1
Mycobacterium_goodii	GCA_018524325.1,GCA_022370755.2
Mycobacterium_goodii_B	GCA_001187505.1
Mycobacterium_gordonae	GCA_002101675.1,GCA_002786135.1
Mycobacterium_gordonae_B	GCA_001417955.2
Mycobacterium_gordonae_D	GCA_017086405.1
Mycobacterium_grossiae	GCA_001766635.1,GCA_008329645.1
Mycobacterium_haemophilum	GCA_000340435.3,GCA_001021405.1
Mycobacterium_hassiacum	GCA_000379865.1,GCA_900603025.1
Mycobacterium_heckeshornense	GCA_016592155.1,GCA_016861545.1
Mycobacterium_heidelbergense	GCA_002086215.1,GCA_010730745.1
Mycobacterium_helveticum	GCA_007714205.1,GCA_021780175.1
Mycobacterium_helvum	GCA_010731895.1
Mycobacterium_heraklionense_A	GCA_001673575.1
