reference,in_mykrobe,in_walker_set,in_manifest,assembly,first_contig,strain,notes,mykrobe_accessions
abscessus,1.0,1.0,1.0,GCF_000069185.1,CU458896.1,ATCC_19977,,"GCA_000611915.1,GCA_900137745.1,GCA_000239035.2,GCA_900134285.1,GCA_000239055.2,GCA_900138855.1"
acapulcensis,,1.0,,GCF_001499915.1,,,not a verified reference,
acidiphilus,1.0,,1.0,GCF_018455725.1,NZ_JAHCLR010000001.1,M1,,GCA_018455725.1
aemonae,,1.0,,none,,,,
agri,1.0,1.0,1.0,GCF_002553505.1,NZ_PDCP01000001.1,CCUG37673,,"GCA_002553505.1,GCA_010722915.1"
ahvazicum,1.0,,1.0,GCF_900176255.2,NZ_FXEG02000001.1,AFP003,,GCA_900176255.2
aichiense,1.0,1.0,1.0,GCA_010726245.1,AP022561.1,JCM_6376,,"GCA_010726245.1,GCA_900453085.1"
algericus,1.0,1.0,,GCF_002086455.1,NZ_MVHC01000001.1,DSM_45454,in manifest but not used,"GCA_002086455.1,GCA_010726505.1,GCA_003284925.1"
alkanivorans,1.0,,1.0,GCF_022760805.1,NZ_JAIVFL010000001.1,ANDR5,,GCA_022760805.1
alsense,1.0,,1.0,GCF_002086635.1,NZ_MVHD01000001.1,DSM_45230,,"GCA_001666815.1,GCA_002086635.1"
alvei,1.0,1.0,1.0,GCA_010727325.1,AP022565.1,JCM_12272,,GCA_010727325.1
angelicum,1.0,1.0,1.0,GCF_002086155.1,NZ_MVHE01000001.1,DSM_45057,,GCA_002086155.1
anyangense,1.0,,1.0,GCA_010731855.1,AP022620.1,JCM_30275,,GCA_010731855.1
aquaticum,1.0,,1.0,GCF_002086485.1,NZ_MVHF01000001.1,RW6,,GCA_002086485.1
arabiense,1.0,,,GCA_010731815.2,,,,GCA_010731815.2
aromaticivorans,1.0,1.0,1.0,GCF_000559085.1,NZ_JALN02000001.1,JCM+16368,,GCA_000559085.2
arosiense,1.0,1.0,1.0,GCF_002086125.1,NZ_MVHG01000001.1,DSM_45069,,"GCA_002086125.1,GCA_003284935.1"
arupensis,1.0,1.0,1.0,GCF_025822685.1,NZ_JACKUJ010000001.1,DSM_44942,,"GCA_000972915.1,GCA_002086515.1"
asiaticum,1.0,1.0,1.0,GCF_000613245.1,NZ_HG964936.1,DSM_44297,,"GCA_000613245.1,GCA_001669345.1,GCA_001673365.1,GCA_001673315.1,GCA_001673345.1,GCA_001673635.1,GCA_001668675.1"
attenuatum,1.0,,1.0,GCF_900566065.1,NZ_UPHP01000001.1,MK136,,"GCA_900566085.1,GCA_900566105.1"
aubagnense,1.0,1.0,1.0,GCA_029854255.1,CP122994.1,HPB1.1,,"GCA_005670695.1,GCA_010730955.1"
aurum,1.0,1.0,1.0,GCA_900637195.1,LR134356.1,NCTC10437,,"GCA_001049355.1,GCA_900637195.1,GCA_023388645.1,GCA_900078775.1"
austroafricanum,1.0,1.0,1.0,GCA_016919645.1,CP070380.1,MYC221,,"GCA_000612725.1,GCA_002968275.1"
avium,1.0,1.0,1.0,GCF_022175585.1,CP018019.1,OCU889s_P11_4s,,"GCA_000504945.1,GCA_009741445.1,GCA_000500005.1,GCA_900079425.1,GCA_000240525.2,GCA_002208705.2,GCA_000504975.1"
bacteremicum,1.0,1.0,1.0,GCF_002086115.1,NZ_MVHJ01000001.1,DSM_45578,,"GCA_002086115.1,GCA_943913955.1"
baixiangningiae,1.0,,1.0,GCA_016313185.1,CP066218.1,LJ126,,"GCA_014893035.1,GCA_016313185.1"
basiliense,1.0,,1.0,GCA_900292015.1,LR130759.1,DSM_104308 901379,,GCA_900292015.1
boenickei,1.0,1.0,,GCA_010731295.1,AP022579.1,JCM_15653,in manifest but not used,"GCA_002553535.1,GCA_010731295.1"
bohemicum,1.0,1.0,1.0,GCF_001053185.1,NZ_CSTD01000001.1,DSM_44277,,"GCA_001053185.1,GCA_002102025.1"
botniense,1.0,,,GCA_010723305.1,,,,GCA_010723305.1
bouchedurhonense,,1.0,,GCF_002086165.1,,,,
bourgelatii,1.0,,,GCA_010723575.1,,,,GCA_010723575.1
bovis,1,,,none,,,excluded as tb lineage,"GCA_000729755.1,GCA_002982285.1"
branderi,1.0,1.0,1.0,GCA_010728725.1,AP022606.1,JCM_12687,,"GCA_002086575.1,GCA_010728725.1"
brisbanense,1.0,1.0,1.0,GCF_001570425.1,NZ_BCSX01000001.1,JCM_15654,,"GCA_000455145.1,GCA_001570425.1"
brumae,1.0,1.0,1.0,GCA_025215495.1,CP104302.1,ATCC_51384,,"GCA_002553575.2,GCA_004014795.1"
brunense,,1.0,,none,,,equivalent to intracellulare,
canariasense,1.0,1.0,1.0,GCF_002101555.1,NZ_LQOL01000001.1,CCUG_47953,,"GCA_001570445.1,GCA_002101555.1"
canettii,1,,,GCF_000253375.1,,,,"GCA_000253375.1,GCA_000343935.1"
celatum,1.0,1.0,1.0,GCF_002101595.1,NZ_LQOM01000001.1,DSM_44243,,"GCA_000974705.1,GCA_002101595.1"
celeriflavum,1.0,,1.0,GCA_010731795.1,AP022591.1,JCM_18439,,"GCA_001667065.1,GCA_010731795.1"
chelonae,1.0,1.0,1.0,GCF_003390495.1,CP031516.1,MOTT36W,,"GCA_014204435.1,GCA_004355245.1,GCA_003390495.1"
chitae,1.0,1.0,1.0,GCA_900637205.1,LR134355.1,NCTC10485,,"GCA_010727725.1,GCA_900637205.1"
chlorophenolicum,1.0,1.0,1.0,GCF_001044235.1,NZ_JYNL01000001.1,DSM_43826,,"GCA_001044235.1,GCA_001552315.1"
chubuense,1.0,,1.0,GCA_000266905.1,CP003053.1,NBB4,,"GCA_001044255.1,GCA_002086595.1,GCA_000266905.1"
colombiense,1.0,1.0,1.0,GCA_002105755.1,CP020821.1,CECT_3035,,"GCA_000222105.4,GCA_002105755.1,GCA_001665835.1,GCA_001953985.1,GCA_001954115.1,GCA_001672755.1"
conceptionense,,1.0,,GCF_002102065.1,,,,
confluentis,1.0,1.0,1.0,GCA_010729895.1,AP022612.1,JCM_13671,,"GCA_010729895.1,GCA_023432245.1"
conspicuum,1.0,,1.0,GCA_010730195.1,AP022613.1,JCM_14738,,"GCA_002102095.1,GCA_010730195.1"
cookii,1.0,,1.0,GCA_010727945.1,AP022569.1,JCM_12404,,GCA_010727945.1
cosmeticum,1.0,1.0,1.0,GCF_000613185.1,NZ_CCBB010000001.1,DSM_44829,,"GCA_000613185.1,GCA_005670675.1,GCA_016197365.1"
crocinum,1.0,1.0,1.0,GCA_022370635.3,CP092362.2,JCM_16369,,"GCA_022370635.1,GCA_023390855.1"
decipiens,1.0,,,GCA_002104675.1,,,,GCA_002104675.1
diernhoferi,1.0,1.0,1.0,GCA_019456655.1,CP080332.1,ATCC_19340,,"GCA_019456655.1,GCA_023417175.1"
dioxanotrophicus,1.0,,,GCA_002157835.1,,,,GCA_002157835.1
doricum,1.0,1.0,1.0,GCA_010728155.1,AP022605.1,JCM_12405,,"GCA_002102115.1,GCA_010728155.1"
duvalii,1.0,1.0,1.0,GCA_010726645.1,AP022563.1,JCM_6396,,"GCA_002553585.1,GCA_010726645.1"
elephantis,1.0,1.0,1.0,GCF_001667535.1,NZ_LZHS01000001.1,852002-10318_SCH4845932,,"GCA_001005175.1,GCA_004014805.1"
engbaekii,1.0,,,GCA_002101585.1,,,,GCA_002101585.1
europaeum,1.0,1.0,1.0,GCF_002102155.1,NZ_LQOU01000001.1,DSM_45397,,"GCA_001373515.1,GCA_002102155.1,GCA_001669335.1,GCA_003284975.1"
fallax,1.0,1.0,1.0,GCA_010726955.1,AP022603.1,JCM_6405,,"GCA_010726955.1,GCA_022710465.1"
farcinogenes,,1.0,1.0,GCA_019739075.1,CP081673.1,BKKCU_MFGFA_001,,
flavescens,1.0,1.0,1.0,GCA_900637135.1,LR134353.1,NCTC10271,,"GCA_002245615.1,GCA_900637135.1,GCA_001722335.1"
florentinum,1.0,1.0,1.0,GCA_010730355.1,AP022576.1,JCM_14740,,"GCA_002101635.1,GCA_010730355.1"
fluoranthenivorans,1.0,1.0,1.0,GCA_014295435.1,CP059894.1,2A,,"GCA_011758805.1,GCA_900100615.1"
fortuitum,1.0,1.0,1.0,GCF_022179545.1,AP025518.1,JCM_6387,,"GCA_001570465.1,GCA_000295855.1,GCA_022179545.1"
fortunisiensis,1.0,,,GCA_019050325.1,,,,GCA_019050325.1
