reference,mykrobe_accessions
M.abscessus,"GCA_000611915.1,GCA_900137745.1,GCA_000239035.2,GCA_900134285.1,GCA_000239055.2,GCA_900138855.1"
M.acidiphilus,GCA_018455725.1
M.agri,"GCA_002553505.1,GCA_010722915.1"
M.ahvazicum,GCA_900176255.2
M.aichiense,"GCA_010726245.1,GCA_900453085.1"
M.algericus,"GCA_002086455.1,GCA_010726505.1,GCA_003284925.1"
M.alkanivorans,GCA_022760805.1
M.alsense,"GCA_001666815.1,GCA_002086635.1"
M.alvei,GCA_010727325.1
M.angelicum,GCA_002086155.1
M.anyangense,GCA_010731855.1
M.aquaticum,GCA_002086485.1
M.arabiense,GCA_010731815.2
M.aromaticivorans,GCA_000559085.2
M.arosiense,"GCA_002086125.1,GCA_003284935.1"
M.arupensis,"GCA_000972915.1,GCA_002086515.1"
M.asiaticum,"GCA_000613245.1,GCA_001669345.1,GCA_001673365.1,GCA_001673315.1,GCA_001673345.1,GCA_001673635.1,GCA_001668675.1"
M.attenuatum,"GCA_900566085.1,GCA_900566105.1"
M.aubagnense,"GCA_005670695.1,GCA_010730955.1"
M.aurum,"GCA_001049355.1,GCA_900637195.1,GCA_023388645.1,GCA_900078775.1"
M.austroafricanum,"GCA_000612725.1,GCA_002968275.1"
M.avium,"GCA_000504945.1,GCA_009741445.1,GCA_000500005.1,GCA_900079425.1,GCA_000240525.2,GCA_002208705.2,GCA_000504975.1"
M.bacteremicum,"GCA_002086115.1,GCA_943913955.1"
M.baixiangningiae,"GCA_014893035.1,GCA_016313185.1"
M.basiliense,GCA_900292015.1
M.boenickei,"GCA_002553535.1,GCA_010731295.1"
M.bohemicum,"GCA_001053185.1,GCA_002102025.1"
M.botniense,GCA_010723305.1
M.bourgelatii,GCA_010723575.1
M.branderi,"GCA_002086575.1,GCA_010728725.1"
M.brisbanense,"GCA_000455145.1,GCA_001570425.1"
M.brumae,"GCA_002553575.2,GCA_004014795.1"
M.canariasense,"GCA_001570445.1,GCA_002101555.1"
M.canetti,"GCA_000253375.1,GCA_000343935.1"
M.celatum,"GCA_000974705.1,GCA_002101595.1"
M.celeriflavum,"GCA_001667065.1,GCA_010731795.1"
M.chelonae,"GCA_014204435.1,GCA_004355245.1,GCA_003390495.1"
M.chitae,"GCA_010727725.1,GCA_900637205.1"
M.chlorophenolicum,"GCA_001044235.1,GCA_001552315.1"
M.chubuense,"GCA_001044255.1,GCA_002086595.1,GCA_000266905.1"
M.colombiense,"GCA_000222105.4,GCA_002105755.1,GCA_001665835.1,GCA_001953985.1,GCA_001954115.1,GCA_001672755.1"
M.confluentis,"GCA_010729895.1,GCA_023432245.1"
M.conspicuum,"GCA_002102095.1,GCA_010730195.1"
M.cookii,GCA_010727945.1
M.cosmeticum,"GCA_000613185.1,GCA_005670675.1,GCA_016197365.1"
M.crocinum,"GCA_022370635.1,GCA_023390855.1"
M.decipiens,GCA_002104675.1
M.diernhoferi,"GCA_019456655.1,GCA_023417175.1"
M.dioxanotrophicus,GCA_002157835.1
M.doricum,"GCA_002102115.1,GCA_010728155.1"
M.duvalii,"GCA_002553585.1,GCA_010726645.1"
M.elephantis,"GCA_001005175.1,GCA_004014805.1"
M.engbaekii,GCA_002101585.1
M.europaeum,"GCA_001373515.1,GCA_002102155.1,GCA_001669335.1,GCA_003284975.1"
M.fallax,"GCA_010726955.1,GCA_022710465.1"
M.flavescens,"GCA_002245615.1,GCA_900637135.1,GCA_001722335.1"
M.florentinum,"GCA_002101635.1,GCA_010730355.1"
M.fluoranthenivorans,"GCA_011758805.1,GCA_900100615.1"
M.fortuitum,"GCA_001570465.1,GCA_000295855.1,GCA_022179545.1"
M.fortunisiensis,GCA_019050325.1
M.fragae,"GCA_002102185.1,GCA_020622285.1"
M.franklinii,"GCA_002013895.1,GCA_011064445.1"
M.frederiksbergense,"GCA_012223425.1,GCA_019745175.1"
M.gadium,GCA_010728925.1
M.gallinarum,GCA_010726765.1
M.gastri,"GCA_000521195.1,GCA_002102175.1"
M.genavense,GCA_000526915.1
M.gilvum,"GCA_019148985.1,GCA_900454025.1"
M.goodii,"GCA_018524325.1,GCA_022370755.2,GCA_001187505.1"
M.gordonae,"GCA_002101675.1,GCA_002786135.1,GCA_001417955.2,GCA_017086405.1"
M.grossiae,"GCA_001766635.1,GCA_008329645.1"
M.haemophilum,"GCA_000340435.3,GCA_001021405.1"
M.hassiacum,"GCA_000379865.1,GCA_900603025.1"
M.heckeshornense,"GCA_016592155.1,GCA_016861545.1"
M.heidelbergense,"GCA_002086215.1,GCA_010730745.1"
M.helveticum,"GCA_007714205.1,GCA_021780175.1"
M.helvum,GCA_010731895.1
M.heraklionensis,"GCA_001673575.1,GCA_001021505.1,GCA_019645815.1,GCA_024758765.1"
M.hiberniae,"GCA_000972925.1,GCA_010729485.1"
M.hippocampi,"GCA_013390125.1,GCA_021731805.1,GCA_010723735.1"
M.hodleri,GCA_006439015.1
M.holsaticum,"GCA_001722355.1,GCA_019645835.1"
M.houstonense,GCA_900078665.2
M.icosiumassiliensis,GCA_900078685.2
M.immunogenum,"GCA_001296255.1,GCA_001605725.1"
M.innocens,"GCA_002705965.1,GCA_900566055.1"
M.insubricum,"GCA_010731615.1,GCA_020438775.1"
M.interjectum,"GCA_900078675.2,GCA_002102225.1"
M.intermedium,"GCA_002024965.1,GCA_002086275.1"
M.intracellulare,"GCA_001938095.1,GCA_020412405.1,GCA_000298095.1,GCA_021183785.1,GCA_000418535.2,GCA_001686645.1"
M.iranicum,"GCA_000455165.1,GCA_002101705.1,GCA_001650495.1,GCA_014190915.1"
M.kansasii,"GCA_000157895.2,GCA_001632965.1"
M.komanii,GCA_001050035.1
M.koreensis,"GCA_001722415.1,GCA_002104795.1"
M.kubicae,"GCA_014263335.1,GCA_015689175.1"
M.kumamotonensis,"GCA_002086285.1,GCA_010093495.1"
M.kyogaense,"GCA_001905565.1,GCA_003254575.1"
M.kyorinense,"GCA_000759695.1,GCA_002101735.1,GCA_001672775.1"
M.lacus,"GCA_002102215.1,GCA_010731535.1"
M.lacusdiani,GCA_021916785.1
M.lehmannii,"GCA_001499915.1,GCA_002245535.1"
M.lentiflavum,"GCA_001373395.1,GCA_022374895.2"
M.leprae,"GCA_000026685.1,GCA_000195855.1"
M.lepraemurium,GCA_002291465.1
M.lepromatosis,"GCA_000966355.1,GCA_000975265.2"
