reference,ncbi,mykrobe,walker
M.abscessus,True,True,True
M.acapulense,False,False,True
M.acidiphilus,True,True,False
M.adipatum,True,False,False
M.aemonae,False,False,True
M.agri,True,True,True
M.ahvazicum,True,True,False
M.aichiense,True,True,True
M.algericus,True,True,True
M.alkanivorans,True,True,False
M.alsense,True,True,False
M.alvei,True,True,True
M.angelicum,True,True,True
M.anyangense,True,True,False
M.appelbergii,True,False,False
M.aquaticum,True,True,False
M.arabiense,True,True,False
M.arenosum,True,False,False
M.aromaticivorans,True,True,True
M.arosiense,True,True,True
M.arseniciresistens,True,False,False
M.arupensis,True,True,True
M.asiaticum,True,True,True
M.asteroides,False,False,True
M.attenuatum,True,True,False
M.aubagnense,True,True,True
M.aurum,True,True,True
M.austroafricanum,True,True,True
M.avium,True,True,True
M.bacteremicum,True,True,True
M.baixiangningiae,True,True,False
M.barrassiae,True,False,False
M.basiliense,True,True,False
M.boenickei,True,True,True
M.bohemicum,True,True,True
M.botniense,True,True,False
M.bouchedurhonense,True,False,True
M.bourgelatii,True,True,False
M.branderi,True,True,True
M.brisbanense,True,True,True
M.brumae,True,True,True
M.bulgaricum,True,False,False
M.burgundiense,True,False,False
M.canariasense,True,True,True
M.canetti,True,True,True
M.celatum,True,True,True
M.celeriflavum,True,True,False
M.chelonae,True,True,True
M.chitae,True,True,True
M.chlorophenolicum,True,True,True
M.chubuense,True,True,False
M.colombiense,True,True,True
M.conceptionense,True,False,True
M.confluentis,True,True,True
M.conspicuum,True,True,False
M.cookii,True,True,False
M.cosmeticum,True,True,True
M.crassicus,True,False,False
M.crocinum,True,True,True
M.decipiens,True,True,False
M.deserti,True,False,False
M.diernhoferi,True,True,True
M.dioxanotrophicus,True,True,False
M.doricum,True,True,True
M.duvalii,True,True,True
M.elephantis,True,True,True
M.engbaekii,True,True,False
M.erythropolis,False,False,True
M.europaeum,True,True,True
M.fallax,True,True,True
M.farcinogenes,True,False,True
M.flavescens,True,True,True
M.florentinum,True,True,True
M.fluoranthenivorans,True,True,True
M.fortuitum,True,True,True
M.fortunisiensis,True,True,False
M.fragae,True,True,False
M.franklinii,True,True,False
M.frederiksbergense,True,True,True
M.gadium,True,True,True
M.gallinarum,True,True,True
M.gastri,True,True,False
M.genavense,True,True,True
M.gilvum,True,True,False
M.goodii,True,True,True
M.gordonae,True,True,True
M.grossiae,True,True,False
M.hackensackense,True,False,True
M.haemophilum,True,True,True
M.hafniae,False,False,True
M.hassiacum,True,True,True
M.heckeshornense,True,True,True
M.heidelbergense,True,True,True
M.helveticum,True,True,False
M.helvum,True,True,False
M.heraklionensis,True,True,True
M.hiberniae,True,True,True
M.hippocampi,True,True,True
M.hippophais,True,False,False
M.hodleri,True,True,True
M.holsaticum,True,True,True
M.holstebronense,True,False,False
M.houstonense,True,True,True
M.hubeiense,True,False,False
M.icosiumassiliensis,True,True,False
M.immunogenum,True,True,True
M.innocens,True,True,False
M.insubricum,True,True,True
M.interjectum,True,True,True
M.intermedium,True,True,True
M.intracellulare,True,True,True
M.iranicum,True,True,False
M.kansasii,True,True,True
M.kiyosense,True,False,False
M.kokjensenii,True,False,False
M.komanii,False,True,False
M.komossense,True,False,False
M.koreensis,True,True,True
M.kubicae,True,True,True
M.kumamotonensis,True,True,True
M.kyogaense,True,True,False
M.kyorinense,True,True,True
M.lacus,True,True,True
M.lacusdiani,True,True,False
M.lehmannii,True,True,False
M.lentiflavum,True,True,True
M.leprae,True,True,False
