reference,species_taxid,walker_taxid,walker_taxon,walker_strain,walker_run_accession
M.setense,431269,431269,Mycobacterium setense,JCM_15660,SRR30899405
M.salmoniphilum,404941,404941,Mycobacterium salmoniphilum,DSMZ43276,SRR30899406
M.canetti,78331,78331,Mycobacterium tuberculosis subsp. canettii,CIP_106416,SRR30899410
M.brisbanense,146020,146020,Mycobacterium brisbanense,JCM_15654,SRR30899412
M.hiberniae,29314,29314,Mycobacterium hiberniae,JCM_13571,SRR30899423
M.frederiksbergense,117567,117567,Mycobacterium frederiksbergense,DSM_44346,SRR30899424
M.fallax,1793,1793,Mycobacterium fallax,JCM_6405,SRR30899426
M.phocaicum,319706,319706,Mycobacterium phocaicum,JCM_15301,SRR30899427
M.porcinum,39693,39693,Mycobacterium porcinum,JCM_6378,SRR30899431
M.monacense,85693,85693,Mycobacterium monacense,JCM_15658,SRR30899433
M.moriokaense,39691,39691,Mycobacterium moriokaense,JCM_6375,SRR30899434
M.saskatchewanense,220927,220927,Mycobacterium saskatchewanense,JCM_13016,SRR30899435
M.litorale,758802,758802,Mycobacterium litorale,JCM_17423,SRR30899443
M.branderi,43348,43348,Mycobacterium branderi,JCM_12687,SRR30899444
M.simiae,1784,1784,Mycobacterium simiae,JCM_12377,SRR30899445
M.celatum,28045,28045,Mycobacterium celatum,NCTC_12882,SRR30899446
M.minnesotensis,1118379,1118379,Mycobacterium minnesotense,JCM_17932,SRR30899449
M.pulveris,36813,36813,Mycobacterium pulveris,DSM_44222,SRR30899450
M.aurum,1791,1791,Mycobacterium aurum,NCTC_10437,SRR30899451
M.poriferae,39694,39694,Mycobacterium poriferae,JCM_12603,SRR30899455
M.rutilum,370526,370526,Mycobacterium rutilum,JCM_16371,SRR30899458
M.phlei,1771,1771,Mycobacterium smegmatis,NCTC_00525,SRR30899462
M.psychrotolerans,216929,216929,Mycobacterium psychrotolerans,JCM_13323,SRR30899463
M.xenopi,1789,1789,Mycobacterium xenopi,NCTC_10042,SRR30899465
M.doricum,126673,126673,Mycobacterium doricum,JCM_12405,SRR30899466
M.agri,36811,36811,Mycobacterium agri,JCM_6377,SRR30899474
M.canariasense,228230,228230,Mycobacterium canariasense,JCM_15298,SRR30899479
M.malmoense,1780,1780,Mycobacterium malmoense,NCTC_11298,SRR30899480
M.intermedium,28445,28445,Mycobacterium intermedium,JCM_13572,SRR30899482
M.koreensis,1069220,1069220,Mycobacterium koreense,DSM_45576,SRR30899484
M.wolinskyi,59750,59750,Mycobacterium wolinskyi,JCM_13393,SRR30899486
M.gadium,1794,1794,Mycobacterium gadium,NCTC_10942,SRR30899490
M.peregrinum,43304,43304,Mycobacterium peregrinum,NCTC_10264,SRR30899493
M.immunogenum,83262,83262,Mycobacterium immunogenum,DSM_45595,SRR30899494
M.sherrisii,243061,243061,Mycobacterium sherrisii,DSM_45441,SRR30899496
M.gordonae,1778,1778,Mycobacterium gordonae,NCTC_10267,SRR30899498
M.kumamotonensis,354243,354243,Mycobacterium kumamotonense,JCM_13453,SRR30899502
M.tusciae,75922,75922,Mycobacterium tusciae,JCM_12692,SRR30899506
M.abscessus,36809,1962118,Mycobacterium abscessus subsp. massiliense,JCM_15300,SRR30899509
M.avium,1764,44454,Mycobacterium avium subsp. avium,NCTC_08562,SRR30899512
M.sphagni,1786,1786,Mycobacterium sphagni,DSM_44076,SRR30899513
M.parafortuitum,39692,39692,Mycobacterium parafortuitum,NCTC_10411,SRR30899514
M.fortuitum,1766,144550,Mycobacterium fortuitum subsp. acetamidolyticum,JCM_6368,SRR30899516
M.palustre,153971,153971,Mycobacterium palustre,DSM_44572,SRR30899519
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_8573,SRR32024525
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_8152,SRR32024526
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_1542,SRR32024531
M.sp. NCTC 13472,3393522,3393522,Mycobacterium sp.,NCTC_13472,SRR32024532
