run_accession,sample_accession,experiment_accession,study_accession,tax_id,scientific_name,walker_taxon,strain,comid,library_name,fastq_ftp,bucket_id
SRR30899405,SAMN44081154,SRX26303002,PRJNA1169681,431269,Mycolicibacterium setense,Mycobacterium setense,JCM_15660,C00018263,e3af1098-d11b-47c7-8000-cafc88012af2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/005/SRR30899405/SRR30899405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/005/SRR30899405/SRR30899405_2.fastq.gz,07e62224-c6af-4175-83fe-ae46944d8912
SRR30899406,SAMN44081153,SRX26303001,PRJNA1169681,404941,Mycobacteroides salmoniphilum,Mycobacterium salmoniphilum,DSMZ43276,C00021878,3f56ce68-520d-4331-99d9-f3b45a3b79e2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/006/SRR30899406/SRR30899406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/006/SRR30899406/SRR30899406_2.fastq.gz,3f56ce68-520d-4331-99d9-f3b45a3b79e2
SRR30899410,SAMN44081149,SRX26302997,PRJNA1169681,78331,Mycobacterium canetti,Mycobacterium tuberculosis subsp. canettii,CIP_106416,C00018206,890ad2b3-43ef-4fc8-8acd-2a461bccf1a5,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/010/SRR30899410/SRR30899410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/010/SRR30899410/SRR30899410_2.fastq.gz,75993fd4-343d-4137-8928-79e1ef11d2c3
SRR30899412,SAMN44081122,SRX26302995,PRJNA1169681,146020,Mycolicibacterium brisbanense,Mycobacterium brisbanense,JCM_15654,C00018326,f3953d50-08cf-417e-88cf-bb0891234a25,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/012/SRR30899412/SRR30899412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/012/SRR30899412/SRR30899412_2.fastq.gz,c2ce36a6-deea-492f-89d8-2f1aa306645f
SRR30899423,SAMN44081112,SRX26302984,PRJNA1169681,29314,Mycolicibacter hiberniae,Mycobacterium hiberniae,JCM_13571,C00018245,c18e9f52-745e-4354-b5af-d3c9a91f5a9c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/023/SRR30899423/SRR30899423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/023/SRR30899423/SRR30899423_2.fastq.gz,bcfb5134-c211-4157-8d61-31a5423bd84b
SRR30899424,SAMN44081111,SRX26302983,PRJNA1169681,117567,Mycolicibacterium frederiksbergense,Mycobacterium frederiksbergense,DSM_44346,C00018301,3d11e6aa-5704-49d3-91fc-81255fd6af2b,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/024/SRR30899424/SRR30899424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/024/SRR30899424/SRR30899424_2.fastq.gz,31608a80-92cd-44c7-be23-fe70cb09a8b9
SRR30899426,SAMN44081109,SRX26302981,PRJNA1169681,1793,Mycolicibacterium fallax,Mycobacterium fallax,JCM_6405,C00018281,33ea2d0f-8cd0-4811-848e-88702ce0ed50,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/026/SRR30899426/SRR30899426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/026/SRR30899426/SRR30899426_2.fastq.gz,ab7822e8-972d-4bef-aa27-afacac61119f
SRR30899427,SAMN44081108,SRX26302980,PRJNA1169681,319706,Mycolicibacterium phocaicum,Mycobacterium phocaicum,JCM_15301,C00018256,bd6f3a79-78ae-4659-a723-abf0f04d8953,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/027/SRR30899427/SRR30899427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/027/SRR30899427/SRR30899427_2.fastq.gz,35d09658-44ed-4769-a6fc-a101d890d778
SRR30899431,SAMN44081105,SRX26302976,PRJNA1169681,39693,Mycolicibacterium porcinum,Mycobacterium porcinum,JCM_6378,C00018338,ce841eb4-8959-497d-a77e-01a6b281b6c6,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/031/SRR30899431/SRR30899431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/031/SRR30899431/SRR30899431_2.fastq.gz,636b705f-7379-4a8e-ba54-73ba7744f65f
SRR30899433,SAMN44081103,SRX26302974,PRJNA1169681,85693,Mycolicibacterium monacense,Mycobacterium monacense,JCM_15658,C00018261,ff521549-3898-4f1a-9120-2b699e5e3ced,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/033/SRR30899433/SRR30899433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/033/SRR30899433/SRR30899433_2.fastq.gz,58a33e06-12c5-4a84-8d2c-c574f45f7f93
SRR30899434,SAMN44081102,SRX26302973,PRJNA1169681,39691,Mycolicibacterium moriokaense,Mycobacterium moriokaense,JCM_6375,C00018278,911ea581-2534-41ef-adb9-268f9378f23a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/034/SRR30899434/SRR30899434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/034/SRR30899434/SRR30899434_2.fastq.gz,2d53752a-584b-4a52-abb4-0bb2b3f2c036
SRR30899435,SAMN44081101,SRX26302972,PRJNA1169681,220927,Mycobacterium saskatchewanense,Mycobacterium saskatchewanense,JCM_13016,C00018239,58ca57d4-4e86-4d82-b407-1d3e61242b6f,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/035/SRR30899435/SRR30899435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/035/SRR30899435/SRR30899435_2.fastq.gz,031aa92c-49a8-4264-b565-b62ca6033376
SRR30899443,SAMN44081094,SRX26302964,PRJNA1169681,758802,Mycolicibacterium litorale,Mycobacterium litorale,JCM_17423,C00018272,1e67ccc3-fbcb-4223-9df7-9f9a284347f1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/043/SRR30899443/SRR30899443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/043/SRR30899443/SRR30899443_2.fastq.gz,1408652c-ee98-40cd-93bf-733a85d341f8
SRR30899444,SAMN44081093,SRX26302963,PRJNA1169681,43348,Mycobacterium branderi,Mycobacterium branderi,JCM_12687,C00018297,2b0f66d2-c7fa-439a-be40-9d14539dbeb7,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/044/SRR30899444/SRR30899444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/044/SRR30899444/SRR30899444_2.fastq.gz,57929ae7-b016-417d-86e8-05ec54c31049
SRR30899445,SAMN44081092,SRX26302962,PRJNA1169681,1784,Mycobacterium simiae,Mycobacterium simiae,JCM_12377,C00018235,a7d8be40-66fa-48e7-8763-0f7c8279cde3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/045/SRR30899445/SRR30899445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/045/SRR30899445/SRR30899445_2.fastq.gz,ea46d74f-2122-4437-872e-df4085f6348c
