Segement Name,Segment Number,Source,Notes,rname,reference
Hemagglutinin,4,A/Puerto Rico/8/1934(H1N1),,NC_002017.1,H1
Hemagglutinin,4,A/Korea/426/1968(H2N2),,NC_007374.1,H2
Hemagglutinin,4,A/New York/392/2004(H3N2),,NC_007366.1,H3
Hemagglutinin,4,A/gull/Massachusetts/14WP00078/2014(H4N4),,CY195905.1,H4
Hemagglutinin,4,A/goose/Guangdong/1/1996(H5N1),,NC_007362.1,H5
Hemagglutinin,4,A/Duck/Guangxi/GXd-5/2010(H6N1),,JX304754.1,H6
Hemagglutinin,4,A/Shanghai/02/2013(H7N9),,NC_026425.1,H7
Hemagglutinin,4,A/teal/Chany/444/2009(H8N8),,CY098524.1,H8
Hemagglutinin,4,A/Hong Kong/1073/99(H9N2),,NC_004908.1,H9
Hemagglutinin,4,A/mandarin duck/Singapore/805_F-72_7/1993(H10N5),,MF613655.1,H10
Hemagglutinin,4,A/duck/Yangzhou/906/2002(H11N2),,DQ080993.1,H11
Hemagglutinin,4,A/wild goose/Dongting/C1037/2011(H12N8),,KC876691.1,H12
Hemagglutinin,4,A/herring gull/Mongolia/454/2008(H13N8),,JF775470.1,H13
Hemagglutinin,4,A/blue-winged teal/Texas/UGAI15-6890/2015(H14N7),,KX024583.1,H14
Hemagglutinin,4,A/mallard/Novomychalivka/2-23-12/2010(H15N7),,KP087869.1,H15
Hemagglutinin,4,A/California gull/California/1196P/2013(H16N3),,CY177441.1,H16
Hemagglutinin,4,A/little yellow-shouldered bat/Guatemala/060/2010(H17N10),Not in IRMA reference,CY103892.1,H17
Hemagglutinin,4,A/flat-faced bat/Peru/033/2010(H18N11),Not in IRMA reference,CY125945.1,H18
Neuraminidase,6,A/Puerto Rico/8/1934(H1N1),,NC_002018.1,N1
Neuraminidase,6,A/Korea/426/1968(H2N2),,NC_007382.1,N2
Neuraminidase,6,A/black duck/New Jersey/1580/1978(H2N3),,KX879567.1,N3
Neuraminidase,6,A/gull/Massachusetts/14WP00078/2014(H4N4),,CY195907.1,N4
Neuraminidase,6,A/duck/Hong Kong/934/1980(H10N5),,AB270598.1,N5
Neuraminidase,6,A/mallard/Ohio/669/2002(H2N6),,GU053446.1,N6
Neuraminidase,6,A/blue-winged teal/Texas/UGAI15-6890/2015(H14N7),,KX024585.1,N7
Neuraminidase,6,A/teal/Chany/444/2009(H8N8),,CY098526.1,N8
Neuraminidase,6,A/duck/Hong Kong/278/1978(H2N9),,AB292786.1,N9
Neuraminidase,6,A/little yellow-shouldered bat/Guatemala/060/2010(H17N10),,CY103894.1,N10
Neuraminidase,6,A/flat-faced bat/Peru/033/2010(H18N11),,CY125947.1,N11
Nonstructural Protein,8,A/mallard duck/ALB/353/1988(H2N3),BLAST from IRMA ref,CY003940.1,NS
Polymerase Basic 1,2,A/Puerto Rico/8/1934(H1N1),,NC_002021.1,PB1
Polymerase Basic 2,1,A/Puerto Rico/8/1934(H1N1),,NC_002023.1,PB2
Matrix Protein,7,A/ruddy turnstone/Delaware/AI00-629/2000(H7N9),BLAST from IRMA ref,MH597601.1,M
Polymerase Acid,3,A/Puerto Rico/8/1934(H1N1),,NC_002022.1,PA
Nucleoprotein,5,A/Puerto Rico/8/1934(H1N1),,NC_002019.1,NP
