assembly_accession,rname,length,totallength,ani_group,reference
GCF_000069185.1,NC_010397.1,5067172,5067172,129,M.abscessus
GCF_018455725.1,NZ_JAHCLR010000001.1,308324,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000002.1,2251,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000003.1,287074,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000004.1,185943,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000005.1,181169,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000006.1,166187,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000007.1,149675,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000008.1,139754,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000009.1,38385,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000010.1,100695,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000011.1,6601,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000012.1,127054,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000013.1,125444,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000014.1,122867,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000015.1,119704,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000016.1,68882,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000017.1,47849,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000018.1,52616,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000019.1,53501,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000020.1,99674,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000021.1,99032,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000022.1,90773,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000023.1,82243,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000024.1,6783,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000025.1,87867,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000026.1,336,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000027.1,84915,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000028.1,83525,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000029.1,20640,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000030.1,61460,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000031.1,33433,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000032.1,41352,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000033.1,72966,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000034.1,69859,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000035.1,27305,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000036.1,42044,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000037.1,63424,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000038.1,61643,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000039.1,61505,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000040.1,60488,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000041.1,1019,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000042.1,57603,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000043.1,55426,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000044.1,21129,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000045.1,32023,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000046.1,23418,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000047.1,16751,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000048.1,9406,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000049.1,30355,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000050.1,38397,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000051.1,37619,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000052.1,3647,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000053.1,22907,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000054.1,417,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000055.1,7607,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000056.1,30561,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000057.1,30018,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000058.1,26307,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000059.1,24987,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000060.1,23810,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000061.1,22907,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000062.1,4901,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000063.1,17077,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000064.1,21951,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000065.1,20868,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000066.1,19287,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000067.1,19161,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000068.1,18786,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000069.1,18165,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000070.1,17963,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000071.1,17601,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000072.1,17384,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000073.1,16868,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000074.1,4891,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000075.1,10292,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000076.1,592,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000077.1,14498,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000078.1,14716,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000079.1,14146,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000080.1,12306,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000081.1,12012,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000082.1,11392,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000083.1,10696,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000084.1,10680,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000085.1,9799,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000086.1,835,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000087.1,10526,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000088.1,10048,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000089.1,9978,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000090.1,9539,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000091.1,8634,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000092.1,8102,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000093.1,7371,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000094.1,6868,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000095.1,3905,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000096.1,2425,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000097.1,5314,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000098.1,5053,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000099.1,4710,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000100.1,4142,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000101.1,1428,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000102.1,2445,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000103.1,3154,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000104.1,3105,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000105.1,3062,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000106.1,1329,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000107.1,1230,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000108.1,435,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000109.1,2042,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000110.1,2441,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000111.1,2298,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000112.1,2143,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000113.1,1958,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000114.1,1884,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000115.1,1794,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000116.1,1553,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000117.1,1476,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000118.1,1455,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000119.1,1283,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000120.1,1225,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000121.1,1209,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000122.1,1064,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000123.1,990,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000124.1,983,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000125.1,982,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000126.1,504,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000127.1,451,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000128.1,841,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000129.1,834,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000130.1,832,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000131.1,825,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000132.1,807,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000133.1,658,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000134.1,652,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000135.1,614,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000136.1,610,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000137.1,599,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000138.1,597,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000139.1,588,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000140.1,563,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000141.1,532,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000142.1,492,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000143.1,491,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000144.1,489,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000145.1,479,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000146.1,444,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000147.1,402,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000148.1,401,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000149.1,399,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000150.1,395,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000151.1,389,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000152.1,386,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000153.1,373,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000154.1,369,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000155.1,345,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000156.1,337,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000157.1,325,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000158.1,324,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000159.1,324,4545982,20,M.acidiphilus
GCF_018455725.1,NZ_JAHCLR010000160.1,305,4545982,20,M.acidiphilus
GCF_001644575.1,NZ_CP015596.1,5801417,5801417,88,M.adipatum
GCF_010722915.1,NZ_BLKS01000001.1,6077648,7297392,155,M.agri
GCF_010722915.1,NZ_BLKS01000002.1,167162,7297392,155,M.agri
GCF_010722915.1,NZ_BLKS01000003.1,459047,7297392,155,M.agri
GCF_010722915.1,NZ_BLKS01000004.1,593535,7297392,155,M.agri
GCF_900176255.2,NZ_FXEG02000001.1,464650,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000002.1,2246071,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000003.1,1699181,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000004.1,91513,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000005.1,1251837,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000006.1,362123,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000007.1,1539,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000008.1,1255,6120821,53,M.ahvazicum
GCF_900176255.2,NZ_FXEG02000009.1,2652,6120821,53,M.ahvazicum
GCF_010726245.1,NZ_AP022561.1,5925482,5925482,81,M.aichiense
GCF_010723515.1,NZ_BLKY01000001.1,4721446,4756495,4,M.algericus
GCF_010723515.1,NZ_BLKY01000002.1,35049,4756495,4,M.algericus
GCF_022760805.1,NZ_JAIVFL010000001.1,4049316,4050246,95,M.alkanivorans
GCF_022760805.1,NZ_JAIVFL010000002.1,466,4050246,95,M.alkanivorans
GCF_022760805.1,NZ_JAIVFL010000003.1,464,4050246,95,M.alkanivorans
GCF_002086635.1,NZ_MVHD01000001.1,287483,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000002.1,268020,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000003.1,248977,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000004.1,202000,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000005.1,192296,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000006.1,167198,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000007.1,142499,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000008.1,140057,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000009.1,131103,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000010.1,123002,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000011.1,122441,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000012.1,118494,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000013.1,118090,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000014.1,111794,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000015.1,99356,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000016.1,94409,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000017.1,93236,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000018.1,84270,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000019.1,79328,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000020.1,76856,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000021.1,74120,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000022.1,72265,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000023.1,72125,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000024.1,71437,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000025.1,69162,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000026.1,68893,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000027.1,68097,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000028.1,66460,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000029.1,64674,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000030.1,63066,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000031.1,61580,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000032.1,59788,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000033.1,58762,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000034.1,58047,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000035.1,57335,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000036.1,56108,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000037.1,55887,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000038.1,54332,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000039.1,54261,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000040.1,54037,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000041.1,53738,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000042.1,52428,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000043.1,51471,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000044.1,50675,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000045.1,48483,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000046.1,47808,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000047.1,46937,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000048.1,44206,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000049.1,44078,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000050.1,43957,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000051.1,42081,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000052.1,35795,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000053.1,35467,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000054.1,35092,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000055.1,34428,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000056.1,34304,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000057.1,33580,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000058.1,32698,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000059.1,31716,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000060.1,31698,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000061.1,31565,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000062.1,31184,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000063.1,30056,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000064.1,29165,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000065.1,26017,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000066.1,25026,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000067.1,23278,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000068.1,21737,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000069.1,21251,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000070.1,20419,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000071.1,18178,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000072.1,17790,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000073.1,17536,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000074.1,17470,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000075.1,16976,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000076.1,16936,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000077.1,16603,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000078.1,15480,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000079.1,14821,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000080.1,14384,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000081.1,13097,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000082.1,12525,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000083.1,12512,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000084.1,11393,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000085.1,11072,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000086.1,10490,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000087.1,10350,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000088.1,10172,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000089.1,9646,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000090.1,9521,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000091.1,8181,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000092.1,8133,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000093.1,7574,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000094.1,7498,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000095.1,6982,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000096.1,6959,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000097.1,6671,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000098.1,6452,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000099.1,6408,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000100.1,6076,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000101.1,5793,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000102.1,5463,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000103.1,5172,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000104.1,4748,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000105.1,4334,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000106.1,4208,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000107.1,4043,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000108.1,3813,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000109.1,3565,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000110.1,3391,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000111.1,3080,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000112.1,3001,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000113.1,2899,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000114.1,2423,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000115.1,2337,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000116.1,1939,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000117.1,1749,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000118.1,1640,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000119.1,1595,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000120.1,1578,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000121.1,1445,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000122.1,1413,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000123.1,1378,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000124.1,1191,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000125.1,1283,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000126.1,1218,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000127.1,1214,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000128.1,1150,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000129.1,1134,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000130.1,1091,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000131.1,1025,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000132.1,987,5692845,119,M.alsense
GCF_002086635.1,NZ_MVHD01000133.1,879,5692845,119,M.alsense
