reference,assembly_accession,species_taxid,taxid,organism_name,strain,bioproject,biosample,assembly_level,genome_size,contig_count,taxonomy,download
M.abscessus,GCF_000069185.1,36809,561007,Mycobacteroides abscessus ATCC 19977,strain=ATCC 19977,PRJNA224116,SAMEA3138276,Complete Genome,5090491.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides abscessus;x__Mycobacteroides abscessus ATCC 19977,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/185/GCF_000069185.1_ASM6918v1/GCF_000069185.1_ASM6918v1_genomic.fna.gz ./GCF_000069185.1_genomic.fna.gz
M.acidiphilus,GCF_018455725.1,2835306,2835306,Mycolicibacter acidiphilus,strain=M1,PRJNA224116,SAMN19113909,Contig,4545982.0,160.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter acidiphilus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/455/725/GCF_018455725.1_ASM1845572v1/GCF_018455725.1_ASM1845572v1_genomic.fna.gz ./GCF_018455725.1_genomic.fna.gz
M.adipatum,GCF_001644575.1,1682113,1682113,Mycobacterium adipatum,strain=YC-RL4,PRJNA224116,SAMN04959083,Complete Genome,6053985.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium adipatum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/644/575/GCF_001644575.1_ASM164457v1/GCF_001644575.1_ASM164457v1_genomic.fna.gz ./GCF_001644575.1_genomic.fna.gz
M.agri,GCF_010722915.1,36811,36811,Mycolicibacterium agri,strain=JCM 6377,PRJNA224116,SAMD00153167,Contig,7297392.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium agri,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/722/915/GCF_010722915.1_ASM1072291v1/GCF_010722915.1_ASM1072291v1_genomic.fna.gz ./GCF_010722915.1_genomic.fna.gz
M.ahvazicum,GCF_900176255.2,1964395,1964395,Mycobacterium ahvazicum,strain=AFP003,PRJNA224116,SAMEA103958175,Contig,6120821.0,9.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium ahvazicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/255/GCF_900176255.2_PRJEB20293/GCF_900176255.2_PRJEB20293_genomic.fna.gz ./GCF_900176255.2_genomic.fna.gz
M.aichiense,GCF_010726245.1,1799,1799,Mycolicibacterium aichiense,strain=JCM 6376,PRJNA224116,SAMD00153166,Complete Genome,5925482.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium aichiense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/245/GCF_010726245.1_ASM1072624v1/GCF_010726245.1_ASM1072624v1_genomic.fna.gz ./GCF_010726245.1_genomic.fna.gz
M.algericus,GCF_010723515.1,1288388,1288388,Mycolicibacter algericus,strain=JCM 30723,PRJNA224116,SAMD00153221,Contig,4756495.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter algericus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/723/515/GCF_010723515.1_ASM1072351v1/GCF_010723515.1_ASM1072351v1_genomic.fna.gz ./GCF_010723515.1_genomic.fna.gz
M.alkanivorans,GCF_022760805.1,2954114,2954114,Candidatus Mycolicibacterium alkanivorans,na,PRJNA224116,SAMN21385979,Contig,4050246.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Candidatus Mycolicibacterium alkanivorans,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/760/805/GCF_022760805.1_ASM2276080v1/GCF_022760805.1_ASM2276080v1_genomic.fna.gz ./GCF_022760805.1_genomic.fna.gz
M.alsense,GCF_002086635.1,324058,324058,Mycobacterium alsense,strain=DSM 45230,PRJNA224116,SAMN06064226,Contig,5692845.0,157.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium alsense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/635/GCF_002086635.1_ASM208663v1/GCF_002086635.1_ASM208663v1_genomic.fna.gz ./GCF_002086635.1_genomic.fna.gz
M.alvei,GCF_010727325.1,67081,67081,Mycolicibacterium alvei,strain=JCM 12272,PRJNA224116,SAMD00153173,Complete Genome,6016846.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium alvei,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/325/GCF_010727325.1_ASM1072732v1/GCF_010727325.1_ASM1072732v1_genomic.fna.gz ./GCF_010727325.1_genomic.fna.gz
