rname,totallength,reference,ani_group
CY195062.1,1729,H1 (CY195062.1),2
EF467821.1,1775,H1 (EF467821.1),2
GQ866928.1,1741,H1 (GQ866928.1),2
GQ866929.1,1712,H1 (GQ866929.1),2
GQ866930.1,1636,H1 (GQ866930.1),2
GQ866931.1,1714,H1 (GQ866931.1),2
HM461778.1,1698,H1 (HM461778.1),2
HM461786.1,1695,H1 (HM461786.1),2
HM461794.1,1698,H1 (HM461794.1),2
HM461810.1,1698,H1 (HM461810.1),2
HM461818.1,1698,H1 (HM461818.1),2
HM461826.1,1533,H1 (HM461826.1),2
HM461834.1,1695,H1 (HM461834.1),2
HM461842.1,1698,H1 (HM461842.1),2
HQ393493.1,1777,H1 (HQ393493.1),2
HQ728094.1,1777,H1 (HQ728094.1),2
HQ728110.1,1777,H1 (HQ728110.1),2
JF429396.1,1701,H1 (JF429396.1),2
JF714142.1,1707,H1 (JF714142.1),2
JF916682.1,1701,H1 (JF916682.1),2
JN596858.1,1752,H1 (JN596858.1),2
JN673250.1,1701,H1 (JN673250.1),2
JN673258.1,1701,H1 (JN673258.1),2
JN704791.1,1744,H1 (JN704791.1),2
JN809147.1,1701,H1 (JN809147.1),2
JN809148.1,1701,H1 (JN809148.1),2
JN809149.1,1701,H1 (JN809149.1),2
JN809150.1,1701,H1 (JN809150.1),2
JN809151.1,1701,H1 (JN809151.1),2
JN809152.1,1701,H1 (JN809152.1),2
JN809153.1,1701,H1 (JN809153.1),2
JN809154.1,1701,H1 (JN809154.1),2
JN809155.1,1701,H1 (JN809155.1),2
JN809156.1,1701,H1 (JN809156.1),2
JN809157.1,1701,H1 (JN809157.1),2
JN809158.1,1701,H1 (JN809158.1),2
JN809159.1,1701,H1 (JN809159.1),2
JN809160.1,1701,H1 (JN809160.1),2
JN809161.1,1701,H1 (JN809161.1),2
JN809162.1,1701,H1 (JN809162.1),2
JN809163.1,1701,H1 (JN809163.1),2
JN809164.1,1701,H1 (JN809164.1),2
JQ023770.1,1707,H1 (JQ023770.1),2
JQ173103.1,1701,H1 (JQ173103.1),2
JQ173148.1,1734,H1 (JQ173148.1),2
JQ173156.1,1734,H1 (JQ173156.1),2
JQ173164.1,1734,H1 (JQ173164.1),2
JQ253793.1,1701,H1 (JQ253793.1),2
JQ409126.1,1734,H1 (JQ409126.1),2
JQ409134.1,1721,H1 (JQ409134.1),2
JQ409142.1,1721,H1 (JQ409142.1),2
JQ431198.1,1701,H1 (JQ431198.1),2
JQ431200.1,1701,H1 (JQ431200.1),2
JQ431203.1,1701,H1 (JQ431203.1),2
JQ431204.1,1701,H1 (JQ431204.1),2
JQ431208.1,1701,H1 (JQ431208.1),2
JQ431209.1,1701,H1 (JQ431209.1),2
JQ431210.1,1701,H1 (JQ431210.1),2
JQ431211.1,1701,H1 (JQ431211.1),2
JQ431213.1,1701,H1 (JQ431213.1),2
JQ431214.1,1701,H1 (JQ431214.1),2
JQ431215.1,1701,H1 (JQ431215.1),2
JQ431218.1,1701,H1 (JQ431218.1),2
JQ431219.1,1701,H1 (JQ431219.1),2
JQ431220.1,1701,H1 (JQ431220.1),2
JQ431221.1,1701,H1 (JQ431221.1),2
JQ612483.1,1701,H1 (JQ612483.1),2
JQ624667.1,1701,H1 (JQ624667.1),2
JQ714163.1,1701,H1 (JQ714163.1),2
JQ714164.1,1701,H1 (JQ714164.1),2
JQ714165.1,1701,H1 (JQ714165.1),2
JQ714166.1,1701,H1 (JQ714166.1),2
JQ714167.1,1701,H1 (JQ714167.1),2
JQ714168.1,1679,H1 (JQ714168.1),2
JQ714169.1,1701,H1 (JQ714169.1),2
JQ714170.1,1701,H1 (JQ714170.1),2
JQ768353.1,1701,H1 (JQ768353.1),2
JX046926.1,1701,H1 (JX046926.1),2
JX138517.1,1778,H1 (JX138517.1),2
JX397999.1,1701,H1 (JX397999.1),2
JX442481.1,1701,H1 (JX442481.1),2
JX860678.1,1701,H1 (JX860678.1),2
JX860686.1,1701,H1 (JX860686.1),2
JX860694.1,1701,H1 (JX860694.1),2
JX963591.1,1701,H1 (JX963591.1),2
JX963598.1,1701,H1 (JX963598.1),2
JX963605.1,1701,H1 (JX963605.1),2
JX987190.1,1701,H1 (JX987190.1),2
KC620386.1,1777,H1 (KC620386.1),2
KC779040.1,1701,H1 (KC779040.1),2
KC833441.1,1779,H1 (KC833441.1),2
KC833449.1,1779,H1 (KC833449.1),2
KC859038.1,1781,H1 (KC859038.1),2
KC859046.1,1781,H1 (KC859046.1),2
KC859078.1,1701,H1 (KC859078.1),2
KC859094.1,1701,H1 (KC859094.1),2
KC859142.1,1766,H1 (KC859142.1),2
KC859182.2,1701,H1 (KC859182.2),2
KC859190.1,1779,H1 (KC859190.1),2
KC859198.1,1779,H1 (KC859198.1),2
KC859230.1,1779,H1 (KC859230.1),2
KC859238.1,1779,H1 (KC859238.1),2
KF683614.1,1755,H1 (KF683614.1),2
KJ645761.1,1777,H1 (KJ645761.1),2
KJ645769.1,1777,H1 (KJ645769.1),2
KJ702009.1,1752,H1 (KJ702009.1),2
KJ942903.1,1750,H1 (KJ942903.1),2
KJ942967.1,1754,H1 (KJ942967.1),2
KJ942999.1,1754,H1 (KJ942999.1),2
KJ943034.1,1752,H1 (KJ943034.1),2
KJ943042.1,1752,H1 (KJ943042.1),2
KJ943050.1,1741,H1 (KJ943050.1),2
KJ943082.1,1721,H1 (KJ943082.1),2
KJ943117.1,1752,H1 (KJ943117.1),2
KJ943170.1,1752,H1 (KJ943170.1),2
KJ943200.1,1752,H1 (KJ943200.1),2
KJ943208.1,1752,H1 (KJ943208.1),2
KJ943224.1,1754,H1 (KJ943224.1),2
KJ943232.1,1752,H1 (KJ943232.1),2
KJ943374.1,1750,H1 (KJ943374.1),2
KJ943388.1,1701,H1 (KJ943388.1),2
KJ943412.1,1753,H1 (KJ943412.1),2
KJ943420.1,1701,H1 (KJ943420.1),2
KJ943428.1,1701,H1 (KJ943428.1),2
KJ943448.1,1701,H1 (KJ943448.1),2
KJ943456.1,1752,H1 (KJ943456.1),2
KJ943470.1,1701,H1 (KJ943470.1),2
KJ943478.1,1701,H1 (KJ943478.1),2
KJ943508.1,1701,H1 (KJ943508.1),2
KM244076.1,1701,H1 (KM244076.1),2
KM368313.1,1701,H1 (KM368313.1),2
KM496987.1,1775,H1 (KM496987.1),2
KM497003.1,1777,H1 (KM497003.1),2
KM594561.1,1701,H1 (KM594561.1),2
KP027601.1,1777,H1 (KP027601.1),2
KU517808.1,1701,H1 (KU517808.1),2
KU758919.1,1701,H1 (KU758919.1),2
KX023795.1,1753,H1 (KX023795.1),2
KX028871.1,1770,H1 (KX028871.1),2
KX028879.1,1777,H1 (KX028879.1),2
KX066871.1,1701,H1 (KX066871.1),2
KX078485.1,1701,H1 (KX078485.1),2
KX078493.1,1701,H1 (KX078493.1),2
KX078501.1,1701,H1 (KX078501.1),2
KX078509.1,1701,H1 (KX078509.1),2
KX078517.1,1701,H1 (KX078517.1),2
KX264373.1,1701,H1 (KX264373.1),2
KX296775.1,1701,H1 (KX296775.1),2
KX789417.1,1701,H1 (KX789417.1),2
KX789425.1,1701,H1 (KX789425.1),2
KX789433.1,1701,H1 (KX789433.1),2
KX789441.1,1701,H1 (KX789441.1),2
KX789449.1,1701,H1 (KX789449.1),2
KY888030.1,1701,H1 (KY888030.1),2
MG572188.1,1775,H1 (MG572188.1),2
MG770144.1,1701,H1 (MG770144.1),2
MG770152.1,1701,H1 (MG770152.1),2
MG770160.1,1701,H1 (MG770160.1),2
MG770176.1,1701,H1 (MG770176.1),2
NC_002017.1,1778,H1 (NC_002017.1),2
NC_026433.1,1701,H1 (NC_026433.1),2
MF613655.1,1686,H10 (MF613655.1),54
DQ080993.1,1698,H11 (DQ080993.1),55
KC876691.1,1721,H12 (KC876691.1),56
JF775470.1,1698,H13 (JF775470.1),57
KX024583.1,1723,H14 (KX024583.1),58
KP087869.1,1713,H15 (KP087869.1),59
CY177441.1,1730,H16 (CY177441.1),60
CY103892.1,1784,H17 (CY103892.1),61
CY125945.1,1771,H18 (CY125945.1),62
NC_007374.1,1773,H2 (NC_007374.1),24
EU620747.1,1701,H3 (EU620747.1),16
JF263535.1,1701,H3 (JF263535.1),16
JF263536.1,1701,H3 (JF263536.1),16
JF316643.1,1701,H3 (JF316643.1),16
JN683629.1,1762,H3 (JN683629.1),16
JN683637.1,1762,H3 (JN683637.1),16
JN940422.1,1701,H3 (JN940422.1),16
JQ350522.1,1701,H3 (JQ350522.1),16
JQ350530.1,1701,H3 (JQ350530.1),16
JQ350538.1,1701,H3 (JQ350538.1),16
JQ738131.1,1701,H3 (JQ738131.1),16
JQ790996.1,1702,H3 (JQ790996.1),16
JQ791004.1,1703,H3 (JQ791004.1),16
JQ791012.1,1702,H3 (JQ791012.1),16
JX096504.1,1701,H3 (JX096504.1),16
JX138525.1,1765,H3 (JX138525.1),16
JX163256.1,1765,H3 (JX163256.1),16
JX195342.1,1701,H3 (JX195342.1),16
JX195350.1,1701,H3 (JX195350.1),16
JX195358.1,1701,H3 (JX195358.1),16
JX414232.1,1701,H3 (JX414232.1),16
JX414244.1,1701,H3 (JX414244.1),16
JX442056.1,1701,H3 (JX442056.1),16
JX494706.1,1701,H3 (JX494706.1),16
JX494714.1,1701,H3 (JX494714.1),16
JX534961.1,1701,H3 (JX534961.1),16
JX534969.1,1701,H3 (JX534969.1),16
KC261669.1,1765,H3 (KC261669.1),16
KC422461.1,1701,H3 (KC422461.1),16
KC508578.1,1701,H3 (KC508578.1),16
KC616720.1,1701,H3 (KC616720.1),16
KC616728.1,1701,H3 (KC616728.1),16
KC755907.1,1701,H3 (KC755907.1),16
KC755909.1,1701,H3 (KC755909.1),16
KC839567.1,1701,H3 (KC839567.1),16
KC841920.2,1732,H3 (KC841920.2),16
KC841928.2,1732,H3 (KC841928.2),16
KC859118.2,1732,H3 (KC859118.2),16
KC859126.2,1732,H3 (KC859126.2),16
KC859214.2,1732,H3 (KC859214.2),16
KC859222.2,1732,H3 (KC859222.2),16
KF277766.1,1791,H3 (KF277766.1),16
KF826947.1,1701,H3 (KF826947.1),16
KF826955.1,1701,H3 (KF826955.1),16
KJ013186.1,1762,H3 (KJ013186.1),16
KJ013190.1,1701,H3 (KJ013190.1),16
KJ413895.1,1701,H3 (KJ413895.1),16
KJ413897.1,1701,H3 (KJ413897.1),16
KJ413901.1,1701,H3 (KJ413901.1),16
