rname,totallength,reference
NC_026433.1,1701,H1
NC_002017.1,1778,H1
MF613655.1,1686,H10
DQ080993.1,1698,H11
KC876691.1,1721,H12
JF775470.1,1698,H13
KX024583.1,1723,H14
KP087869.1,1713,H15
CY177441.1,1730,H16
CY103892.1,1784,H17
CY125945.1,1771,H18
NC_007374.1,1773,H2
NC_007366.1,1762,H3
CY195905.1,1713,H4
NC_007362.1,1760,H5
JX304754.1,1744,H6
NC_026425.1,1708,H7
CY098524.1,1701,H8
NC_004908.1,1714,H9
NC_026438.1,2280,"Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
NC_026435.1,2274,"Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence"
NC_026437.1,2151,"Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene, complete cds"
NC_026436.1,1497,"Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
NC_026431.1,982,"Influenza A virus (A/California/07/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
NC_026432.1,863,"Influenza A virus (A/California/07/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
NC_007360.1,1565,"Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nucleocapsid protein (NP) gene, complete cds"
NC_007357.1,2341,"Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB2) gene, complete cds"
NC_004905.2,1557,"Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence"
NC_004907.1,1025,"Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 7, complete sequence"
NC_004906.1,890,"Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 8, complete sequence"
NC_007378.1,2341,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 1, complete sequence"
NC_007375.1,2341,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 2, complete sequence"
NC_007376.1,2233,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 3, complete sequence"
NC_007381.1,1497,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 5, complete sequence"
NC_007377.1,1027,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 7, complete sequence"
NC_007380.1,838,"Influenza A virus (A/Korea/426/1968(H2N2)) segment 8, complete sequence"
NC_007373.1,2341,"Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence"
NC_007372.1,2341,"Influenza A virus (A/New York/392/2004(H3N2)) segment 2, complete sequence"
NC_007371.1,2233,"Influenza A virus (A/New York/392/2004(H3N2)) segment 3, complete sequence"
NC_007369.1,1566,"Influenza A virus (A/New York/392/2004(H3N2)) segment 5, complete sequence"
NC_007367.1,1027,"Influenza A virus (A/New York/392/2004(H3N2)) segment 7, complete sequence"
NC_007370.1,890,"Influenza A virus (A/New York/392/2004(H3N2)) segment 8, complete sequence"
NC_002023.1,2341,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 1, complete sequence"
NC_002021.1,2341,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 2, complete sequence"
NC_002022.1,2233,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 3, complete sequence"
NC_002019.1,1565,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 5, complete sequence"
NC_002016.1,1027,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 7, complete sequence"
NC_002020.1,890,"Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 8, complete sequence"
NC_026422.1,2280,"Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds"
